Location,Address,Resolved Address,Wind Direction,Temperature,Maximum Temperature,Latitude,Wind Speed,Cloud Cover,Heat Index,Chance Precipitation (%),Minimum Temperature,Date time,Precipitation,Sea Level Pressure,Snow Depth,Snow,Name,Relative Humidity,ID,Wind Gust,Conditions,Wind Chill,Longitude
"Bengaluru, KA, IN","Bengaluru, KA, IN",,24,76.7,82.5,12.9664,6.2,99.8,84.8,100,72.2,09/03/2020,0.1,1006.5,0,0,"Bengaluru, KA, IN",74,,12.5,"Rain, Overcast",,77.5872
"Bengaluru, KA, IN","Bengaluru, KA, IN",,42.6,76.3,83.2,12.9664,3.9,87.2,85.3,100,70.1,09/04/2020,0.3,1006.9,0,0,"Bengaluru, KA, IN",75.1,,14.5,"Rain, Overcast",,77.5872
"Bengaluru, KA, IN","Bengaluru, KA, IN",,27.2,77.5,86.4,12.9664,4.2,38,89.1,95.1,70.6,09/05/2020,0.2,1006.2,0,0,"Bengaluru, KA, IN",74.1,,12.8,"Rain, Partially cloudy",,77.5872
"Bengaluru, KA, IN","Bengaluru, KA, IN",,22.6,77.6,84.3,12.9664,4.8,77,88,100,72.1,09/06/2020,0.9,1005.8,0,0,"Bengaluru, KA, IN",74.8,,16.6,"Rain, Overcast",,77.5872
"Bengaluru, KA, IN","Bengaluru, KA, IN",,65.7,75.5,82.3,12.9664,7.9,71.4,85.5,95.2,69.9,09/07/2020,1.1,1006.8,0,0,"Bengaluru, KA, IN",78.8,,22.1,"Rain, Partially cloudy",,77.5872
"Bengaluru, KA, IN","Bengaluru, KA, IN",,68.9,76.1,84.3,12.9664,7.2,74.3,87,80.9,69.3,09/08/2020,0.5,1007.6,0,0,"Bengaluru, KA, IN",77.3,,15.9,"Rain, Partially cloudy",,77.5872
"Bengaluru, KA, IN","Bengaluru, KA, IN",,69.9,75,82.3,12.9664,10.7,86.6,85.5,85.7,69.7,09/09/2020,0.4,1006.8,0,0,"Bengaluru, KA, IN",79.6,,21.3,"Rain, Overcast",,77.5872
"Bengaluru, KA, IN","Bengaluru, KA, IN",,66,74.1,81.2,12.9664,12,96.9,84,66.6,69,09/10/2020,0.7,1004.9,0,0,"Bengaluru, KA, IN",80.6,,23.7,"Rain, Overcast",,77.5872
"Bengaluru, KA, IN","Bengaluru, KA, IN",,77.2,70.7,74.4,12.9664,11.6,100,,66.6,69,09/11/2020,0.7,1006.1,0,0,"Bengaluru, KA, IN",87.7,,24.6,"Rain, Overcast",,77.5872
"Bengaluru, KA, IN","Bengaluru, KA, IN",,70.4,71.4,78.9,12.9664,12.5,98.9,,76.1,67.7,09/12/2020,0.3,1007.4,0,0,"Bengaluru, KA, IN",83.7,,23.9,"Rain, Overcast",,77.5872
"Bengaluru, KA, IN","Bengaluru, KA, IN",,85.8,72.9,79.1,12.9664,11.5,100,,33.2,67.4,09/13/2020,0.2,1007.5,0,0,"Bengaluru, KA, IN",79.9,,25.3,Overcast,,77.5872
"Bengaluru, KA, IN","Bengaluru, KA, IN",,83.4,73,81.8,12.9664,11,85.8,83.7,23.8,66.5,09/14/2020,0.1,1006.9,0,0,"Bengaluru, KA, IN",78.2,,20.6,Overcast,,77.5872
"Bengaluru, KA, IN","Bengaluru, KA, IN",,83.1,72.7,80,12.9664,12.6,98,,23.8,66.8,09/15/2020,0,1007,0,0,"Bengaluru, KA, IN",76.5,,24.2,Overcast,,77.5872
"Bengaluru, KA, IN","Bengaluru, KA, IN",,72.8,72.4,82.1,12.9664,13.4,62.6,84.2,23.7,65.4,09/16/2020,0.2,1007.1,0,0,"Bengaluru, KA, IN",77.9,,24.6,Partially cloudy,,77.5872
"Bengaluru, KA, IN","Bengaluru, KA, IN",,70.5,72.5,79.8,12.9664,12.1,96.9,,33.3,67,09/17/2020,0.2,1006.9,0,0,"Bengaluru, KA, IN",81.1,,24.2,Overcast,,77.5872
"Bengaluru, KA, IN","Bengaluru, KA, IN",,74.6,72.3,79.2,12.9664,10.4,93.1,,52.3,66.8,09/18/2020,0.4,1007.4,0,0,"Bengaluru, KA, IN",81.5,,24.2,"Rain, Overcast",,77.5872
